id;name;original_language;first_air_date;production_companies[0].name;production_companies[1].name;production_companies[2].name
246;Avatar: The Last Airbender;en;21/02/2005;Nickelodeon Animation Studio;JM Animation;DR Movie
247;Atlantika;en;12/12/2012;-;-;-
248;So Little Time;en;02/06/2001;Dualstar Productions;-;-
249;Clarissa Explains It All;en;23/03/1991;Thunder Pictures;Nickelodeon Productions;-
250;The Dick Powell Show;en;26/09/1961;Four Stars Productions;-;-
251;Aqua Teen Hunger Force;en;30/12/2000;Williams Street;Radical Axis;-
252;Everybody Hates Chris;en;22/09/2005;Chris Rock Entertainment;3 Arts Entertainment;CBS Paramount Network Television
253;Star Trek;en;08/09/1966;Desilu Productions;Paramount Television Studios;-
254;ESPNU Inside the Polls;en;12/12/2012;-;-;-
255;Hi Hi Puffy AmiYumi;en;19/11/2004;Cartoon Network Studios;Renegade Animation;-
256;JBTV;en;12/12/2012;-;-;-
257;California Dreams;en;12/09/1992;NBC Studios;Peter Engel Productions;NBC Productions
258;ESPNU Coaches Spotlight;en;12/12/2012;-;-;-
259;The Kumars at No. 42;en;12/11/2001;Hat Trick Productions;-;-
260;Sinchronicity;en;16/07/2006;-;-;-
261;The Ashlee Simpson Show;;12/12/2012;-;-;-
262;Squirrel Boy;en;14/07/2006;-;-;-
263;Skimo;;12/12/2012;-;-;-
264;Now and Forever: Linlang;en;12/12/2012;-;-;-
265;Clangers;;12/12/2012;-;-;-
266;QTV;en;12/12/2012;-;-;-
267;Bonds on Bonds;en;04/04/2006;-;-;-
268;Untold Stories of the ER;en;26/04/2004;GRB Entertainment;-;-
269;One Tree Hill;en;23/09/2003;Warner Bros. Television;Tollin/Robbins Productions;-
270;Tucker;en;12/12/2012;-;-;-
271;Ellen;en;29/03/1994;Touchstone Television;The Black/Marlens Company;-
272;Korgoth of Barbaria;en;03/06/2006;-;-;-
273;Jimbo and the Jet Set;;12/12/2012;-;-;-
274;Majika;tl;20/03/2006;GMA Entertainment Group;-;-
275;Harry's Mad;en;04/01/1993;-;-;-
276;TNA Global Impact!;en;12/12/2012;-;-;-
277;Pangako Sa ’Yo;tl;13/11/2000;-;-;-
278;Nightline;en;24/03/1980;ABC News;-;-
279;The Zoo (NZ);en;12/12/2012;-;-;-
280;CMT Outlaws;en;12/12/2012;-;-;-
281;NASCAR Racers;en;20/11/1999;Saban Entertainment;Saerom Animation;-
282;Ocean Girl;en;29/08/1994;-;-;-
283;Detroit Sports Report;en;12/12/2012;-;-;-
284;Dirt;en;02/01/2007;ABC Studios;Coquette Productions;Matthew Carnahan Circus Products
285;Waiting for God;en;28/06/1990;BBC;-;-
286;Q.E.D.;;12/12/2012;-;-;-
287;Murder in Mind;en;22/04/2001;-;-;-
288;¡Mucha Lucha!;en;17/08/2002;-;-;-
289;Fearless;en;12/12/2012;Warner Bros. Television;Jerry Bruckheimer Television;-
290;The Midnight Special;;12/12/2012;-;-;-
291;Coronation Street;en;09/12/1960;-;-;-
292;Moral Orel;en;12/12/2005;Williams Street;Fragical Productions;Starburns Industries
293;$25 Million Dollar Hoax;en;08/11/2004;Reveille Productions;Hallock Healey Entertainment;-
294;The National;;12/12/2012;-;-;-
